add device 1: /dev/input/event5
  name:     "msm8974-taiko-mtp-snd-card Headset Jack"
add device 2: /dev/input/event4
  name:     "msm8974-taiko-mtp-snd-card Button Jack"
add device 3: /dev/input/event3
  name:     "hs_detect"
add device 4: /dev/input/event1
  name:     "touch_dev"
add device 5: /dev/input/event0
  name:     "qpnp_pon"
add device 6: /dev/input/event2
  name:     "gpio-keys"
/dev/input/event1: 0003 003a 00000030
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000012e
/dev/input/event1: 0003 0036 00000473
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000114
/dev/input/event1: 0003 0036 00000426
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 ffffffff
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 0000005a
/dev/input/event1: 0003 0035 00000121
/dev/input/event1: 0003 0036 00000597
/dev/input/event1: 0003 003a 0000001f
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 00000595
/dev/input/event1: 0003 003a 0000001e
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000122
/dev/input/event1: 0003 0036 0000058b
/dev/input/event1: 0003 003a 0000001f
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000123
/dev/input/event1: 0003 0036 00000575
/dev/input/event1: 0003 003a 00000024
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000126
/dev/input/event1: 0003 0036 0000054c
/dev/input/event1: 0003 003a 00000028
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000127
/dev/input/event1: 0003 0036 00000515
/dev/input/event1: 0003 003a 0000002a
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000126
/dev/input/event1: 0003 0036 000004cb
/dev/input/event1: 0003 003a 0000002c
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000011d
/dev/input/event1: 0003 0036 0000047a
/dev/input/event1: 0003 003a 0000002e
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000010c
/dev/input/event1: 0003 0036 00000431
/dev/input/event1: 0003 003a 0000002f
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000000ec
/dev/input/event1: 0003 0036 000003e1
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 ffffffff
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 0000005b
/dev/input/event1: 0003 0035 000001ed
/dev/input/event1: 0003 0036 00000461
/dev/input/event1: 0003 003a 00000031
/dev/input/event1: 0003 0030 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000001ec
/dev/input/event1: 0003 0036 00000460
/dev/input/event1: 0003 003a 00000032
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000001eb
/dev/input/event1: 0003 0036 0000045f
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000001e9
/dev/input/event1: 0003 0036 0000045e
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000001e3
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000001d8
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000001c7
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000001ae
/dev/input/event1: 0003 0036 0000045f
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000018d
/dev/input/event1: 0003 0036 00000460
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000163
/dev/input/event1: 0003 0036 00000464
/dev/input/event1: 0003 003a 00000031
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000136
/dev/input/event1: 0003 0036 0000046c
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 ffffffff
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 0000005c
/dev/input/event1: 0003 0035 000000e0
/dev/input/event1: 0003 0036 00000748
/dev/input/event1: 0003 003a 0000002d
/dev/input/event1: 0003 0030 00000004
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 ffffffff
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 0000005d
/dev/input/event1: 0003 0035 00000191
/dev/input/event1: 0003 0036 0000054c
/dev/input/event1: 0003 003a 0000002e
/dev/input/event1: 0003 0030 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 0000054a
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 00000541
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 0000052d
/dev/input/event1: 0003 003a 0000002f
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000190
/dev/input/event1: 0003 0036 00000504
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000189
/dev/input/event1: 0003 0036 000004cc
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000017b
/dev/input/event1: 0003 0036 00000488
/dev/input/event1: 0003 003a 00000030
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000166
/dev/input/event1: 0003 0036 00000447
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000145
/dev/input/event1: 0003 0036 000003fa
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000011d
/dev/input/event1: 0003 0036 000003b3
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000000f4
/dev/input/event1: 0003 0036 0000037c
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 ffffffff
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 0000005e
/dev/input/event1: 0003 0035 0000017b
/dev/input/event1: 0003 0036 0000053f
/dev/input/event1: 0003 003a 0000002d
/dev/input/event1: 0003 0030 00000004
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 00000538
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 0000051e
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000017a
/dev/input/event1: 0003 0036 000004eb
/dev/input/event1: 0003 003a 0000002e
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000175
/dev/input/event1: 0003 0036 000004b1
/dev/input/event1: 0003 003a 0000002f
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000016c
/dev/input/event1: 0003 0036 00000476
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000015b
/dev/input/event1: 0003 0036 00000434
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000143
/dev/input/event1: 0003 0036 000003f3
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 ffffffff
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 0000005f
/dev/input/event1: 0003 0035 0000017b
/dev/input/event1: 0003 0036 0000058d
/dev/input/event1: 0003 003a 00000026
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 0000058c
/dev/input/event1: 0003 003a 0000002a
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 0000058a
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 00000585
/dev/input/event1: 0003 003a 0000002b
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 0000057c
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000017c
/dev/input/event1: 0003 0036 0000056d
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000017d
/dev/input/event1: 0003 0036 00000557
/dev/input/event1: 0003 003a 0000002d
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000017f
/dev/input/event1: 0003 0036 0000053a
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000180
/dev/input/event1: 0003 0036 00000517
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 000004f2
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000017e
/dev/input/event1: 0003 0036 000004c8
/dev/input/event1: 0003 003a 0000002e
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000179
/dev/input/event1: 0003 0036 0000049a
/dev/input/event1: 0003 003a 00000030
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000171
/dev/input/event1: 0003 0036 0000046b
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000162
/dev/input/event1: 0003 0036 00000438
/dev/input/event1: 0003 0030 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000148
/dev/input/event1: 0003 0036 000003f9
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000122
/dev/input/event1: 0003 0036 000003b9
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000000f2
/dev/input/event1: 0003 0036 0000037b
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 ffffffff
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 00000060
/dev/input/event1: 0003 0035 000001d2
